Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-10-05 00:00:00+10:00,0.778853714466095,0.778853714466095,0.778853714466095,0.778853714466095,0,0.0,0.0
1994-10-06 00:00:00+10:00,0.778853714466095,0.778853714466095,0.778853714466095,0.778853714466095,0,0.0,0.0
1994-10-07 00:00:00+10:00,0.778853714466095,0.778853714466095,0.778853714466095,0.778853714466095,0,0.0,0.0
1994-10-10 00:00:00+10:00,0.8138481378555297,0.8138481378555297,0.8138481378555297,0.8138481378555298,0,0.253837,0.0
1994-10-11 00:00:00+10:00,0.8138481378555297,0.8138481378555297,0.8138481378555297,0.8138481378555298,0,0.0,0.0
1994-10-12 00:00:00+10:00,0.8138481378555297,0.8138481378555297,0.8138481378555297,0.8138481378555298,0,0.0,0.0
1994-10-13 00:00:00+10:00,0.8138481378555297,0.8138481378555297,0.8138481378555297,0.8138481378555298,0,0.0,0.0
1994-10-14 00:00:00+10:00,0.8138481378555297,0.8138481378555297,0.8138481378555297,0.8138481378555298,0,0.0,0.0
1994-10-17 00:00:00+10:00,0.8138481378555297,0.8138481378555297,0.8138481378555297,0.8138481378555298,0,0.0,0.0
1994-10-18 00:00:00+10:00,0.8138481378555297,0.8138481378555297,0.8138481378555297,0.8138481378555298,0,0.0,0.0
1994-10-19 00:00:00+10:00,0.8138481378555297,0.8138481378555297,0.8138481378555297,0.8138481378555298,0,0.0,0.0
1994-10-20 00:00:00+10:00,0.8138481378555297,0.8138481378555297,0.8138481378555297,0.8138481378555298,0,0.0,0.0
1994-10-21 00:00:00+10:00,0.8138481378555297,0.8138481378555297,0.8138481378555297,0.8138481378555298,0,0.0,0.0
1994-10-24 00:00:00+10:00,0.8138481378555297,0.8138481378555297,0.8138481378555297,0.8138481378555298,0,0.0,0.0
1994-10-25 00:00:00+10:00,0.8138481378555297,0.8138481378555297,0.8138481378555297,0.8138481378555298,0,0.0,0.0
1994-10-26 00:00:00+10:00,0.8138481378555297,0.8138481378555297,0.8138481378555297,0.8138481378555298,0,0.0,0.0
1994-10-27 00:00:00+10:00,0.8138481378555297,0.8138481378555297,0.8138481378555297,0.8138481378555298,0,0.0,0.0
1994-10-28 00:00:00+10:00,0.8138481378555297,0.8138481378555297,0.8138481378555297,0.8138481378555298,0,0.0,0.0
1994-10-31 00:00:00+11:00,0.769375741481781,0.769375741481781,0.769375741481781,0.769375741481781,0,0.0,0.0
1994-11-01 00:00:00+11:00,0.769375741481781,0.769375741481781,0.769375741481781,0.769375741481781,0,0.0,0.0
1994-11-02 00:00:00+11:00,0.769375741481781,0.769375741481781,0.769375741481781,0.769375741481781,0,0.0,0.0
1994-11-03 00:00:00+11:00,0.769375741481781,0.769375741481781,0.769375741481781,0.769375741481781,0,0.0,0.0
1994-11-04 00:00:00+11:00,0.769375741481781,0.769375741481781,0.769375741481781,0.769375741481781,0,0.0,0.0
1994-11-07 00:00:00+11:00,0.769375741481781,0.769375741481781,0.769375741481781,0.769375741481781,0,0.0,0.0
1994-11-08 00:00:00+11:00,0.769375741481781,0.769375741481781,0.769375741481781,0.769375741481781,0,0.0,0.0
1994-11-09 00:00:00+11:00,0.769375741481781,0.769375741481781,0.769375741481781,0.769375741481781,0,0.0,0.0
1994-11-10 00:00:00+11:00,0.769375741481781,0.769375741481781,0.769375741481781,0.769375741481781,0,0.0,0.0
1994-11-11 00:00:00+11:00,0.769375741481781,0.769375741481781,0.769375741481781,0.769375741481781,0,0.0,0.0
1994-11-14 00:00:00+11:00,0.769375741481781,0.769375741481781,0.769375741481781,0.769375741481781,0,0.0,0.0
1994-11-15 00:00:00+11:00,0.769375741481781,0.769375741481781,0.769375741481781,0.769375741481781,0,0.0,0.0
1994-11-16 00:00:00+11:00,0.769375741481781,0.769375741481781,0.769375741481781,0.769375741481781,0,0.0,0.0
1994-11-17 00:00:00+11:00,0.769375741481781,0.769375741481781,0.769375741481781,0.769375741481781,0,0.0,0.0
1994-11-18 00:00:00+11:00,0.769375741481781,0.769375741481781,0.769375741481781,0.769375741481781,0,0.0,0.0
1994-11-21 00:00:00+11:00,0.769375741481781,0.769375741481781,0.769375741481781,0.769375741481781,0,0.0,0.0
1994-11-22 00:00:00+11:00,0.769375741481781,0.769375741481781,0.769375741481781,0.769375741481781,0,0.0,0.0
1994-11-23 00:00:00+11:00,0.769375741481781,0.769375741481781,0.769375741481781,0.769375741481781,0,0.0,0.0
1994-11-24 00:00:00+11:00,0.769375741481781,0.769375741481781,0.769375741481781,0.769375741481781,0,0.0,0.0
1994-11-25 00:00:00+11:00,0.769375741481781,0.769375741481781,0.769375741481781,0.769375741481781,0,0.0,0.0
1994-11-28 00:00:00+11:00,0.769375741481781,0.769375741481781,0.769375741481781,0.769375741481781,0,0.0,0.0
1994-11-29 00:00:00+11:00,0.769375741481781,0.769375741481781,0.769375741481781,0.769375741481781,0,0.0,0.0
1994-11-30 00:00:00+11:00,0.6937723159790039,0.6937723159790039,0.6937723159790039,0.6937723159790039,0,0.0,0.0
1994-12-01 00:00:00+11:00,0.6937723159790039,0.6937723159790039,0.6937723159790039,0.6937723159790039,0,0.0,0.0
1994-12-02 00:00:00+11:00,0.6937723159790039,0.6937723159790039,0.6937723159790039,0.6937723159790039,0,0.0,0.0
1994-12-05 00:00:00+11:00,0.6937723159790039,0.6937723159790039,0.6937723159790039,0.6937723159790039,0,0.0,0.0
1994-12-06 00:00:00+11:00,0.6937723159790039,0.6937723159790039,0.6937723159790039,0.6937723159790039,0,0.0,0.0
1994-12-07 00:00:00+11:00,0.6937723159790039,0.6937723159790039,0.6937723159790039,0.6937723159790039,0,0.0,0.0
1994-12-08 00:00:00+11:00,0.6937723159790039,0.6937723159790039,0.6937723159790039,0.6937723159790039,0,0.0,0.0
1994-12-09 00:00:00+11:00,0.6937723159790039,0.6937723159790039,0.6937723159790039,0.6937723159790039,0,0.0,0.0
1994-12-12 00:00:00+11:00,0.6937723159790039,0.6937723159790039,0.6937723159790039,0.6937723159790039,0,0.0,0.0
1994-12-13 00:00:00+11:00,0.6937723159790039,0.6937723159790039,0.6937723159790039,0.6937723159790039,0,0.0,0.0
1994-12-14 00:00:00+11:00,0.6937723159790039,0.6937723159790039,0.6937723159790039,0.6937723159790039,0,0.0,0.0
1994-12-15 00:00:00+11:00,0.6937723159790039,0.6937723159790039,0.6937723159790039,0.6937723159790039,0,0.0,0.0
1994-12-16 00:00:00+11:00,0.6937723159790039,0.6937723159790039,0.6937723159790039,0.6937723159790039,0,0.0,0.0
1994-12-19 00:00:00+11:00,0.6937723159790039,0.6937723159790039,0.6937723159790039,0.6937723159790039,0,0.0,0.0
1994-12-20 00:00:00+11:00,0.6937723159790039,0.6937723159790039,0.6937723159790039,0.6937723159790039,0,0.0,0.0
1994-12-21 00:00:00+11:00,0.6937723159790039,0.6937723159790039,0.6937723159790039,0.6937723159790039,0,0.0,0.0
1994-12-22 00:00:00+11:00,0.6937723159790039,0.6937723159790039,0.6937723159790039,0.6937723159790039,0,0.0,0.0
1994-12-23 00:00:00+11:00,0.6937723159790039,0.6937723159790039,0.6937723159790039,0.6937723159790039,0,0.0,0.0
1994-12-26 00:00:00+11:00,0.6937723159790039,0.6937723159790039,0.6937723159790039,0.6937723159790039,0,0.0,0.0
1994-12-27 00:00:00+11:00,0.6937723159790039,0.6937723159790039,0.6937723159790039,0.6937723159790039,0,0.0,0.0
1994-12-28 00:00:00+11:00,0.6937723159790039,0.6937723159790039,0.6937723159790039,0.6937723159790039,0,0.0,0.0
1994-12-29 00:00:00+11:00,0.6937723159790039,0.6937723159790039,0.6937723159790039,0.6937723159790039,0,0.0,0.0
1994-12-30 00:00:00+11:00,0.7346867322921753,0.7346867322921753,0.7346867322921753,0.7346867322921753,0,0.0,0.0
1995-01-02 00:00:00+11:00,0.7346867322921753,0.7346867322921753,0.7346867322921753,0.7346867322921753,0,0.0,0.0
1995-01-03 00:00:00+11:00,0.7346867322921753,0.7346867322921753,0.7346867322921753,0.7346867322921753,0,0.0,0.0
1995-01-04 00:00:00+11:00,0.7346867322921753,0.7346867322921753,0.7346867322921753,0.7346867322921753,0,0.0,0.0
1995-01-05 00:00:00+11:00,0.7346867322921753,0.7346867322921753,0.7346867322921753,0.7346867322921753,0,0.0,0.0
1995-01-06 00:00:00+11:00,0.7346867322921753,0.7346867322921753,0.7346867322921753,0.7346867322921753,0,0.0,0.0
1995-01-09 00:00:00+11:00,0.7346867322921753,0.7346867322921753,0.7346867322921753,0.7346867322921753,0,0.0,0.0
1995-01-10 00:00:00+11:00,0.7346867322921753,0.7346867322921753,0.7346867322921753,0.7346867322921753,0,0.0,0.0
1995-01-11 00:00:00+11:00,0.7346867322921753,0.7346867322921753,0.7346867322921753,0.7346867322921753,0,0.0,0.0
1995-01-12 00:00:00+11:00,0.7346867322921753,0.7346867322921753,0.7346867322921753,0.7346867322921753,0,0.0,0.0
1995-01-13 00:00:00+11:00,0.7346867322921753,0.7346867322921753,0.7346867322921753,0.7346867322921753,0,0.0,0.0
1995-01-16 00:00:00+11:00,0.7346867322921753,0.7346867322921753,0.7346867322921753,0.7346867322921753,0,0.0,0.0
1995-01-17 00:00:00+11:00,0.7346867322921753,0.7346867322921753,0.7346867322921753,0.7346867322921753,0,0.0,0.0
1995-01-18 00:00:00+11:00,0.7346867322921753,0.7346867322921753,0.7346867322921753,0.7346867322921753,0,0.0,0.0
1995-01-19 00:00:00+11:00,0.7346867322921753,0.7346867322921753,0.7346867322921753,0.7346867322921753,0,0.0,0.0
1995-01-20 00:00:00+11:00,0.7346867322921753,0.7346867322921753,0.7346867322921753,0.7346867322921753,0,0.0,0.0
1995-01-23 00:00:00+11:00,0.7346867322921753,0.7346867322921753,0.7346867322921753,0.7346867322921753,0,0.0,0.0
1995-01-24 00:00:00+11:00,0.7346867322921753,0.7346867322921753,0.7346867322921753,0.7346867322921753,0,0.0,0.0
1995-01-25 00:00:00+11:00,0.7346867322921753,0.7346867322921753,0.7346867322921753,0.7346867322921753,0,0.0,0.0
1995-01-26 00:00:00+11:00,0.7346867322921753,0.7346867322921753,0.7346867322921753,0.7346867322921753,0,0.0,0.0
1995-01-27 00:00:00+11:00,0.7346867322921753,0.7346867322921753,0.7346867322921753,0.7346867322921753,0,0.0,0.0
1995-01-30 00:00:00+11:00,0.7346867322921753,0.7346867322921753,0.7346867322921753,0.7346867322921753,0,0.0,0.0
1995-01-31 00:00:00+11:00,0.6982198357582092,0.6982198357582092,0.6982198357582092,0.6982198357582092,0,0.0,0.0
1995-02-01 00:00:00+11:00,0.6982198357582092,0.6982198357582092,0.6982198357582092,0.6982198357582092,0,0.0,0.0
1995-02-02 00:00:00+11:00,0.6982198357582092,0.6982198357582092,0.6982198357582092,0.6982198357582092,0,0.0,0.0
1995-02-03 00:00:00+11:00,0.6982198357582092,0.6982198357582092,0.6982198357582092,0.6982198357582092,0,0.0,0.0
1995-02-06 00:00:00+11:00,0.6982198357582092,0.6982198357582092,0.6982198357582092,0.6982198357582092,0,0.0,0.0
1995-02-07 00:00:00+11:00,0.6982198357582092,0.6982198357582092,0.6982198357582092,0.6982198357582092,0,0.0,0.0
1995-02-08 00:00:00+11:00,0.6982198357582092,0.6982198357582092,0.6982198357582092,0.6982198357582092,0,0.0,0.0
1995-02-09 00:00:00+11:00,0.6982198357582092,0.6982198357582092,0.6982198357582092,0.6982198357582092,0,0.0,0.0
1995-02-10 00:00:00+11:00,0.6982198357582092,0.6982198357582092,0.6982198357582092,0.6982198357582092,0,0.0,0.0
1995-02-13 00:00:00+11:00,0.6982198357582092,0.6982198357582092,0.6982198357582092,0.6982198357582092,0,0.0,0.0
1995-02-14 00:00:00+11:00,0.6982198357582092,0.6982198357582092,0.6982198357582092,0.6982198357582092,0,0.0,0.0
1995-02-15 00:00:00+11:00,0.6982198357582092,0.6982198357582092,0.6982198357582092,0.6982198357582092,0,0.0,0.0
1995-02-16 00:00:00+11:00,0.6982198357582092,0.6982198357582092,0.6982198357582092,0.6982198357582092,0,0.0,0.0
1995-02-17 00:00:00+11:00,0.6982198357582092,0.6982198357582092,0.6982198357582092,0.6982198357582092,0,0.0,0.0
1995-02-20 00:00:00+11:00,0.6982198357582092,0.6982198357582092,0.6982198357582092,0.6982198357582092,0,0.0,0.0
1995-02-21 00:00:00+11:00,0.6982198357582092,0.6982198357582092,0.6982198357582092,0.6982198357582092,0,0.0,0.0
